smiles,MW,LogP,TPSA,CAGA_IC50_uM,CAGA_pass,NF-kB_IC50_uM,NF-kB_pass,pSMAD_inhibition,pSMAD_pass,pIkBa_inhibition,pIkBa_pass,fibrosis_genes_avg_reduction,inflammation_genes_avg_reduction,qPCR_pass,CC50_uM,SI,cytotox_pass,solubility_uM,solubility_pass,Gate1_GO
O=C(Nc1ncnc2ccccc12)c1ccc(Cl)c(Cl)c1,318.163,4.188900000000002,54.88,0.49197615127392225,True,0.16266304437547316,True,37.43580432923296,False,29.415050835938576,False,42.96683643493213,42.28774019050429,True,36.03003385874978,72.06006771749956,True,11.999621297913382,False,False
Clc1ccc(CNc2ncnc3c(Cl)cccc23)cc1,304.18,4.548700000000002,37.81,1.7238860043451965,False,0.8071279476036974,True,34.90372742521212,False,35.11092789735866,False,41.58741420291978,30.64139038855402,False,9.682216768019616,19.364433536039233,False,4.463331784252888,False,False
Clc1ccc(CNc2ncnc3ccccc23)cc1Cl,304.18000000000006,4.548700000000001,37.81,1.89187845483965,False,0.3549938959416058,True,53.4174336265917,True,41.97314230187367,False,44.775968818529584,42.27741748705302,True,5.442078048306951,10.884156096613902,False,15.30569030954868,False,False
O=C(Nc1ncnc2ccccc12)c1ccc(F)c(Cl)c1,301.70799999999997,3.6746000000000016,54.88,0.4370612209423856,True,0.12403970110684731,True,83.77332628100895,True,86.51673113384959,True,56.643698065414156,68.50719680600615,True,14.212609097531933,28.425218195063866,True,14.005591228982622,False,False
COc1ccc(C(=O)Nc2cccc3ccc(Cl)cc23)cc1,311.7680000000001,4.754100000000003,38.33,0.8929389222760689,True,0.2556810411433618,True,37.86520482903752,False,40.596128569631205,False,47.415850946642706,39.37049410535459,True,5.870181897464373,11.740363794928745,False,4.196405601490564,False,False
COc1ccc(C(=O)Nc2cccnc2)c(Cl)c1,262.696,2.9959000000000007,51.22,0.6744793178143174,True,0.5948798245603039,True,69.83084976547454,True,43.9542037421759,False,71.57728818416881,74.91994949304659,True,36.13166015634285,72.2633203126857,True,27.60283354808609,False,False
COc1ccc(C(=O)Nc2ncnc3ccccc23)cc1Cl,313.744,3.544100000000002,64.11,0.1634752206369191,True,0.2270354081806961,True,56.24088279203358,True,94.95645843500984,True,55.61783888928762,75.8581047784595,True,18.541109996660765,37.08221999332153,True,38.54156045119004,True,True
COc1ccc(C(=O)Nc2cnccc2Cl)cc1,262.696,2.9959000000000007,51.22,0.1718213449891635,True,0.8799818492336496,True,63.95605986181177,True,40.07622798466494,False,65.22555591697001,75.63117122089203,True,17.903804413854306,35.80760882770861,True,57.91455061480092,True,False
O=C(Nc1ncnc2c(F)cccc12)c1ccc(Cl)cc1,301.708,3.6746000000000016,54.88,0.12511712571130848,True,0.06965830562677912,True,59.77581363990261,True,42.296460496544256,False,75.9906883427116,74.73538907153403,True,27.39324412431099,54.78648824862198,True,32.77476577827853,True,False
O=C(Nc1ncnc2cccc(Cl)c12)c1ccc(F)cc1,301.708,3.6746000000000016,54.88,0.047750362873120754,True,0.30292788555242944,True,63.62823674822088,True,50.7973497070755,True,71.31499482650204,68.25933206220311,True,33.34962313219492,66.69924626438984,True,22.158427989632656,False,False
O=C(Nc1nc(F)nc2ccccc12)c1ccc(Cl)cc1,301.7080000000001,3.6746000000000016,54.88,0.2772129873816166,True,0.3846157415359822,True,53.823163653965295,True,67.19340082525449,True,74.51456882383415,68.91289765353322,True,16.977559321692542,33.955118643385084,True,24.375076972384555,False,False
