miRNA,FC_MT_vs_Con,MT_mean,Con_mean,KeyPathways_Total,항염증·면역조절_Npath,항염증·면역조절_예시KEGG,항산화·미토콘드리아/대사 항상성_Npath,항산화·미토콘드리아/대사 항상성_예시KEGG,혈관신생·내피기능/혈류반응_Npath,혈관신생·내피기능/혈류반응_예시KEGG,신장 섬유화·ECM/EMT 억제_Npath,신장 섬유화·ECM/EMT 억제_예시KEGG,심혈관 합병증/죽상동맥경화·심근보호_Npath,심혈관 합병증/죽상동맥경화·심근보호_예시KEGG,세포사멸·노화/손상 반응_Npath,세포사멸·노화/손상 반응_예시KEGG
hsa-miR-4734,257.503815676532,9.70423,1.69578,10,2,Adipocytokine signaling pathway; Th17 cell differentiation,5,Autophagy - animal; Autophagy - other; Mitophagy - animal; PPAR signaling pathway; mTOR signaling pathway,1,Regulation of actin cytoskeleton,2,MAPK signaling pathway; PI3K-Akt signaling pathway,0,,0,
hsa-miR-3178,198.369993186489,9.55973,1.92768,30,12,B cell receptor signaling pathway; Chemokine signaling pathway; IL-17 signaling pathway; Inflammatory bowel disease; Leukocyte transendothelial migration; NOD-like receptor signaling pathway,3,Autophagy - animal; Mitophagy - animal; Oxidative phosphorylation,6,Adherens junction; Fluid shear stress and atherosclerosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton; Tight junction,4,Adherens junction; Focal adhesion; MAPK signaling pathway; Wnt signaling pathway,3,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Fluid shear stress and atherosclerosis,2,Apoptosis; p53 signaling pathway
hsa-miR-1227-5p,156.954219053574,8.7754,1.4812,26,4,Chemokine signaling pathway; Leukocyte transendothelial migration; NOD-like receptor signaling pathway; T cell receptor signaling pathway,4,Autophagy - animal; Mitophagy - animal; Peroxisome; mTOR signaling pathway,9,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton,6,Adherens junction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway; Wnt signaling pathway,3,Fluid shear stress and atherosclerosis; Platelet activation; Vascular smooth muscle contraction,0,
hsa-miR-6126,152.056112271046,11.49054,4.24208,31,8,Allograft rejection; Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway,3,Ferroptosis; FoxO signaling pathway; Mitophagy - animal,5,Endocytosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton; Tight junction,6,Cell adhesion molecules; ECM-receptor interaction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,4,AGE-RAGE signaling pathway in diabetic complications; Dilated cardiomyopathy; Hypertrophic cardiomyopathy; Platelet activation,5,Cell cycle; Cellular senescence; Ferroptosis; Necroptosis; p53 signaling pathway
hsa-miR-4674,125.625018628625,8.32051,1.34753,10,2,Complement and coagulation cascades; NF-kappa B signaling pathway,3,Glutathione metabolism; PPAR signaling pathway; Peroxisome,2,Fluid shear stress and atherosclerosis; Regulation of actin cytoskeleton,1,TGF-beta signaling pathway,2,Fluid shear stress and atherosclerosis; Platelet activation,0,
hsa-miR-4651,109.5146450815,8.13406,1.35908,58,15,Adipocytokine signaling pathway; Antigen processing and presentation; B cell receptor signaling pathway; Chemokine signaling pathway; Cytokine-cytokine receptor interaction; IL-17 signaling pathway,7,Autophagy - animal; Ferroptosis; FoxO signaling pathway; Mitophagy - animal; Oxidative phosphorylation; PPAR signaling pathway,11,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,8,Adherens junction; Cell adhesion molecules; Focal adhesion; Hippo signaling pathway; MAPK signaling pathway; PI3K-Akt signaling pathway,10,AGE-RAGE signaling pathway in diabetic complications; Adrenergic signaling in cardiomyocytes; Aldosterone synthesis and secretion; Cardiac muscle contraction; Dilated cardiomyopathy; Fluid shear stress and atherosclerosis,7,Apoptosis; Apoptosis - multiple species; Cell cycle; Cellular senescence; Ferroptosis; Necroptosis
hsa-miR-4745-5p,96.1290119379273,9.49623,2.90933,28,5,Chemokine signaling pathway; Complement and coagulation cascades; JAK-STAT signaling pathway; NF-kappa B signaling pathway; T cell receptor signaling pathway,3,AMPK signaling pathway; FoxO signaling pathway; Mitophagy - animal,8,Adherens junction; Endocytosis; Fluid shear stress and atherosclerosis; Focal adhesion; HIF-1 signaling pathway; Rap1 signaling pathway,7,Adherens junction; ECM-receptor interaction; Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway; TGF-beta signaling pathway,2,Fluid shear stress and atherosclerosis; Vascular smooth muscle contraction,3,Cell cycle; Necroptosis; p53 signaling pathway
hsa-miR-6789-5p,64.0497040806625,8.91045,2.90933,24,5,B cell receptor signaling pathway; Chemokine signaling pathway; JAK-STAT signaling pathway; Natural killer cell mediated cytotoxicity; T cell receptor signaling pathway,3,Autophagy - animal; FoxO signaling pathway; mTOR signaling pathway,8,Apelin signaling pathway; Endocytosis; Focal adhesion; Rap1 signaling pathway; Regulation of actin cytoskeleton; Sphingolipid signaling pathway,3,Focal adhesion; MAPK signaling pathway; PI3K-Akt signaling pathway,2,Cholesterol metabolism; Vascular smooth muscle contraction,3,Apoptosis; Cellular senescence; Necroptosis
hsa-miR-4467,63.4228146800817,7.22978,1.24285,13,4,Adipocytokine signaling pathway; JAK-STAT signaling pathway; NF-kappa B signaling pathway; Th17 cell differentiation,3,Oxidative phosphorylation; PPAR signaling pathway; Thermogenesis,2,Fluid shear stress and atherosclerosis; Tight junction,2,MAPK signaling pathway; TGF-beta signaling pathway,2,Fluid shear stress and atherosclerosis; Vascular smooth muscle contraction,0,
hsa-miR-4758-5p,60.9595353013968,7.67289,1.74311,13,3,Chemokine signaling pathway; JAK-STAT signaling pathway; T cell receptor signaling pathway,1,FoxO signaling pathway,5,Adherens junction; Endocytosis; HIF-1 signaling pathway; Rap1 signaling pathway; Regulation of actin cytoskeleton,3,Adherens junction; TGF-beta signaling pathway; Wnt signaling pathway,0,,1,Cell cycle
